ERAA.JK,MLIA.JK,PALM.JK,SPMA.JK,SRTG.JK
45400.0,58000.0,83000.0,47200.0,294000.0
5910000.0,6294000.0,4644000.0,20982000.0,22176000.0
130.0,109.0,56.0,445.0,75.0
5902000.0,6322000.0,4648000.0,21004000.0,22050000.0
