SRTG.JK,BUDI.JK,MPMX.JK,TRUS.JK,JTPE.JK,MLIA.JK
294000.0,21800.0,107500.0,42400.0,28800.0,58000.0
14802000.0,3102000.0,1710000.0,1878000.0,31908000.000000004,6594000.0
50.0,142.0,16.0,44.0,1108.0,114.0
14700000.0,3095600.0,1720000.0,1865600.0,31910400.0,6612000.0
