LTLS.JK,PALM.JK,BBCA.JK,CEKA.JK,ASII.JK,SRTG.JK,MFIN.JK,ADMF.JK,IGAR.JK,SGRO.JK,UNTR.JK,AMFG.JK,HRTA.JK
151500.0,83000.0,837500.0,228000.0,715000.0,294000.0,174500.0,852500.0,48400.0,220000.0,3400000.0,557500.0,20800.0
324000.0,2562000.0,6216000.0,4908000.0,1302000.0,5694000.0,9726000.0,2136000.0,2226000.0,13230000.0,4560000.0,5286000.0,1824000.0
2.0,31.0,7.0,22.0,2.0,19.0,56.0,3.0,46.0,60.0,1.0,9.0,88.0
303000.0,2573000.0,5862500.0,5016000.0,1430000.0,5586000.0,9772000.0,2557500.0,2226400.0,13200000.0,3400000.0,5017500.0,1830400.0
