Year,Test_Year,Num_Stocks,Portfolio_Stocks,Expected_Return,Expected_Risk,Avg_Monthly_Return,Total_Return,Volatility,Sharpe_Ratio,Num_Test_Months
2010,2013,22,12,0.02286239170917988,0.036788320927937976,0.004704313681490077,0.036651376855834306,0.05592725744918743,0.08411486448739543,11
2011,2014,22,12,0.015182012248099681,0.029936291686102533,0.02393473736952276,0.29259029261765934,0.02719573384644723,0.8800916167463347,11
2012,2015,22,7,0.017680921239798277,0.03178286568947842,-0.012979095243572075,-0.14296607912265102,0.04525962768201693,-0.28676981911473115,11
2013,2016,24,12,0.01423449847374284,0.028278215311849715,0.011767188501890714,0.12443510832343696,0.049033831637534726,0.2399810112510786,11
2014,2017,17,8,0.013770727595300637,0.02983579614889512,0.027766131772072003,0.3435871766744081,0.03556375637791029,0.780742379320717,11
2015,2018,14,6,0.008622691250933946,0.033733690513252666,-0.014766590123429046,-0.16709540795253885,0.06165128399555587,-0.23951796566789257,11
2016,2019,20,13,0.015731871490786933,0.023633387573637147,-0.011581190402533942,-0.1279738254743612,0.040739853272473606,-0.28427177498842193,11
2017,2020,17,10,0.01339784775064601,0.027359196086972182,-0.0019559205101999048,-0.036353897812823166,0.05521928056201297,-0.035420970543130224,11
2018,2021,14,7,0.015484471964209538,0.03017350365055872,0.009619757740373458,0.10607733795014851,0.0303711949062123,0.31673952144720446,11
