ADMF.JK,AKPI.JK,ALDO.JK,AMFG.JK,ASII.JK,BBCA.JK,CEKA.JK,EMDE.JK,HRTA.JK,MFIN.JK,PALM.JK,PBSA.JK,SGRO.JK,SPMA.JK,SRTG.JK
852500.0,160500.0,70500.0,557500.0,715000.0,837500.0,228000.0,14400.0,20800.0,174500.0,83000.0,31200.0,220000.0,47200.0,294000.0
2550000.0,1062000.0,2052000.0,966000.0,162000.0,3132000.0,1428000.0,28284000.0,696000.0,7890000.0,2382000.0,24000.0,8003999.999999999,102000.0,1266000.0
3.0,7.0,29.0,2.0,0.0,4.0,6.0,1964.0,33.0,45.0,29.0,1.0,36.0,2.0,4.0
2557500.0,1123500.0,2044500.0,1115000.0,0.0,3350000.0,1368000.0,28281600.0,686400.0,7852500.0,2407000.0,31200.0,7920000.0,94400.0,1176000.0
