Stock,Weight,Target_Value,Price_Per_Share,Price_Per_Lot,Lots,Actual_Value,Actual_Weight
BMRI.JK,0.1379555538380564,2759111.0767611284,4780.0,478000.0,5,2390000.0,0.1195
ASII.JK,0.17788542457564116,3557708.4915128234,5025.0,502500.0,7,3517500.0,0.175875
UNTR.JK,0.08987304290718606,1797460.8581437212,24075.0,2407500.0,0,0.0,0.0
MLBI.JK,0.20929837314002733,4185967.4628005465,6300.0,630000.0,6,3780000.0,0.189
GGRM.JK,0.20542585258644924,4108517.051728985,9400.0,940000.0,4,3760000.0,0.188
ITMG.JK,0.002859725691041881,57194.513820837616,23025.0,2302500.0,0,0.0,0.0
PTRO.JK,0.012714040903793768,254280.81807587537,3850.0,385000.0,0,0.0,0.0
GEMS.JK,0.036782162812616565,735643.2562523313,9400.0,940000.0,0,0.0,0.0
PUDP.JK,0.12720582354518756,2544116.470903751,214.0,21400.0,118,2525200.0,0.12626
