Stock,Weight,Target_Value,Price_Per_Share,Price_Per_Lot,Lots,Actual_Value,Actual_Weight
BMRI.JK,0.0754898545014703,1509797.0900294061,4770.0,477000.0,3,1431000.0,0.07155
BNGA.JK,0.31947527597273107,6389505.519454622,1720.0,172000.0,37,6364000.0,0.3182
ASII.JK,0.05761193863397517,1152238.7726795035,5025.0,502500.0,2,1005000.0,0.05025
PGAS.JK,0.14742127433189645,2948425.486637929,1625.0,162500.0,18,2925000.0,0.14625
ITMG.JK,0.21218004826327858,4243600.965265571,23025.0,2302500.0,1,2302500.0,0.115125
PTRO.JK,0.1126130325075595,2252260.65015119,3850.0,385000.0,5,1925000.0,0.09625
KKGI.JK,0.026644755274406382,532895.1054881277,376.0,37600.0,14,526400.0,0.02632
PUDP.JK,0.04856382051468259,971276.4102936517,214.0,21400.0,45,963000.0,0.04815
