Stock,Weight,Target_Value,Price_Per_Share,Price_Per_Lot,Lots,Actual_Value,Actual_Weight
BMRI.JK,0.10326794923627027,2065358.9847254052,4770.0,477000.0,4,1908000.0,0.0954
BNGA.JK,0.1571813015216894,3143626.030433788,1720.0,172000.0,18,3096000.0,0.1548
UNTR.JK,0.1352108935724807,2704217.871449614,24075.0,2407500.0,1,2407500.0,0.120375
PTBA.JK,0.15045175286403747,3009035.0572807495,2460.0,246000.0,12,2952000.0,0.1476
PTRO.JK,0.010584957413622632,211699.14827245264,3850.0,385000.0,0,0.0,0.0
GEMS.JK,0.20075717009694918,4015143.4019389837,9400.0,940000.0,4,3760000.0,0.188
KKGI.JK,0.2425459752949504,4850919.505899007,376.0,37600.0,129,4850400.0,0.24252
