Stock,Weight,Target_Value,Price_Per_Share,Price_Per_Lot,Lots,Actual_Value,Actual_Weight
HPQ,0.03257228499501435,65.1445699900287,25.8799991607666,25.8799991607666,2,51.7599983215332,0.025879999160766602
TXN,0.11161800709269297,223.23601418538593,186.25,186.25,1,186.25,0.093125
GILD,0.24423342014965596,488.4668402993119,113.55999755859375,113.55999755859375,4,454.239990234375,0.2271199951171875
JPM,0.016869778029893555,33.73955605978711,296.760009765625,296.760009765625,0,0.0,0.0
USB,0.046688790880668324,93.37758176133664,46.290000915527344,46.290000915527344,2,92.58000183105469,0.046290000915527346
TFC,0.0005384395795095263,1.0768791590190527,45.81999969482422,45.81999969482422,0,0.0,0.0
RF,0.005859129474012554,11.718258948025108,26.3700008392334,26.3700008392334,0,0.0,0.0
PGR,0.014372757634898977,28.745515269797956,247.52999877929688,247.52999877929688,0,0.0,0.0
NEE,0.04440005315687258,88.80010631374516,72.81999969482422,72.81999969482422,1,72.81999969482422,0.03640999984741211
CLX,0.18224538339416724,364.4907667883345,131.42999267578125,131.42999267578125,2,262.8599853515625,0.13142999267578126
K,0.004447287415745564,8.894574831491129,79.9000015258789,79.9000015258789,0,0.0,0.0
SJM,0.06911648330696919,138.23296661393837,109.12000274658203,109.12000274658203,1,109.12000274658203,0.05456000137329101
HRL,0.0006039464626820449,1.2078929253640898,29.520000457763672,29.520000457763672,0,0.0,0.0
EXR,0.09255068266215533,185.10136532431065,150.97999572753906,150.97999572753906,1,150.97999572753906,0.07548999786376953
PSA,0.11057959248572893,221.15918497145788,289.6199951171875,289.6199951171875,0,0.0,0.0
PKG,0.023303963279332787,46.607926558665575,206.32000732421875,206.32000732421875,0,0.0,0.0
