Year,Test_Year,Num_Stocks,Portfolio_Stocks,Expected_Return,Expected_Risk,Avg_Monthly_Return,Total_Return,Volatility,Sharpe_Ratio,Num_Test_Months,Universe_Type
2018,2021,117,46,0.016749126165939134,0.006545379963712676,-0.006654576893615475,-0.08324203991262513,0.05083977720804212,-0.13089311674959142,11,Dividend_Filtered
2019,2022,79,22,0.011464226062008972,0.013242221711780647,0.011622008427611595,0.13353771263132508,0.019032800744834905,0.61063048909213,11,Dividend_Filtered
2020,2023,95,27,0.010580778998323988,0.01357831356619303,-0.004218913442704127,-0.06343211057891418,0.06172030481191927,-0.06835535656475535,11,Dividend_Filtered
2021,2024,86,18,0.010923154396949013,0.019216227698819283,0.0074559786173449185,0.07471941458219411,0.04442173622589545,0.16784527690294304,11,Dividend_Filtered
2022,2025,106,16,0.015459152128117094,0.026034802027053692,-0.0006905590697010842,-0.02622730383583216,0.061923315432261164,-0.011151842644092547,11,Dividend_Filtered
