Stock,Weight,Target_Value,Price_Per_Share,Price_Per_Lot,Lots,Actual_Value,Actual_Weight
HPQ,0.06171813767958491,123.43627535916981,25.8799991607666,25.8799991607666,4,103.5199966430664,0.051759998321533204
BMY,0.10083253401851561,201.6650680370312,48.97999954223633,48.97999954223633,4,195.9199981689453,0.09795999908447266
ABBV,0.04971039635755814,99.42079271511628,190.5500030517578,190.5500030517578,0,0.0,0.0
AMGN,0.0008735613125852408,1.7471226251704817,309.2200012207031,309.2200012207031,0,0.0,0.0
DUK,0.025285334402196758,50.57066880439351,119.51000213623047,119.51000213623047,0,0.0,0.0
ED,0.018523473903677156,37.046947807354314,102.55000305175781,102.55000305175781,0,0.0,0.0
ES,0.004210298736663566,8.420597473327133,66.37000274658203,66.37000274658203,0,0.0,0.0
CLX,0.14121316265028586,282.4263253005717,131.42999267578125,131.42999267578125,2,262.8599853515625,0.13142999267578126
SJM,0.14377586489110736,287.5517297822147,109.12000274658203,109.12000274658203,2,218.24000549316406,0.10912000274658203
HRL,0.01268507131379374,25.37014262758748,29.520000457763672,29.520000457763672,0,0.0,0.0
AMT,0.04773246113417813,95.46492226835626,230.17999267578125,230.17999267578125,0,0.0,0.0
CCI,0.00948329868229913,18.96659736459826,109.7300033569336,109.7300033569336,0,0.0,0.0
DLR,0.14271244708676448,285.42489417352897,179.24000549316406,179.24000549316406,1,179.24000549316406,0.08962000274658204
EXR,0.032123381116328203,64.24676223265641,150.97999572753906,150.97999572753906,0,0.0,0.0
PSA,0.13081997577756782,261.63995155513567,289.6199951171875,289.6199951171875,0,0.0,0.0
NEM,0.00196854004596741,3.93708009193482,61.41999816894531,61.41999816894531,0,0.0,0.0
PKG,0.03796224176125387,75.92448352250774,206.32000732421875,206.32000732421875,0,0.0,0.0
IP,0.03836981912967276,76.73963825934551,54.099998474121094,54.099998474121094,1,54.099998474121094,0.027049999237060546
