Stock,Weight,Target_Value,Price_Per_Share,Price_Per_Lot,Lots,Actual_Value,Actual_Weight
INTC,0.058426722016549804,116.8534440330996,23.489999771118164,23.489999771118164,4,93.95999908447266,0.04697999954223633
PFE,0.07607902492545371,152.15804985090742,25.360000610351562,25.360000610351562,5,126.80000305175781,0.06340000152587891
BMY,0.02244210840074676,44.88421680149352,48.97999954223633,48.97999954223633,0,0.0,0.0
PGR,0.06273225062247559,125.46450124495118,247.52999877929688,247.52999877929688,0,0.0,0.0
AFL,0.08815315039941168,176.30630079882337,102.88999938964844,102.88999938964844,1,102.88999938964844,0.05144499969482422
HIG,0.0301673870308789,60.3347740617578,123.2300033569336,123.2300033569336,0,0.0,0.0
COP,0.020370760888074102,40.741521776148204,95.04000091552734,95.04000091552734,0,0.0,0.0
NEE,0.008522423341183714,17.044846682367428,72.81999969482422,72.81999969482422,0,0.0,0.0
D,0.04088329630454957,81.76659260909915,58.290000915527344,58.290000915527344,1,58.290000915527344,0.02914500045776367
SO,0.0035029628129099144,7.005925625819828,95.12999725341797,95.12999725341797,0,0.0,0.0
DUK,0.000621809661993906,1.243619323987812,119.51000213623047,119.51000213623047,0,0.0,0.0
AEP,0.011831231219970572,23.662462439941145,108.88999938964844,108.88999938964844,0,0.0,0.0
EXC,6.32088743515967e-05,0.1264177487031934,43.4900016784668,43.4900016784668,0,0.0,0.0
ATO,0.033539932549946076,67.07986509989215,157.08999633789062,157.08999633789062,0,0.0,0.0
KO,0.017926424958359305,35.85284991671861,69.16000366210938,69.16000366210938,0,0.0,0.0
HSY,0.04820291230215554,96.40582460431108,183.22999572753906,183.22999572753906,0,0.0,0.0
HRL,0.04088893645612358,81.77787291224715,29.520000457763672,29.520000457763672,2,59.040000915527344,0.029520000457763672
AMT,0.0021977673455708807,4.395534691141761,230.17999267578125,230.17999267578125,0,0.0,0.0
SPG,0.009606369556565448,19.212739113130898,165.74000549316406,165.74000549316406,0,0.0,0.0
O,0.029287319720455764,58.574639440911525,57.880001068115234,57.880001068115234,1,57.880001068115234,0.028940000534057618
EXR,0.05758531574530234,115.17063149060468,150.97999572753906,150.97999572753906,0,0.0,0.0
PSA,0.029620358236408413,59.24071647281683,289.6199951171875,289.6199951171875,0,0.0,0.0
ARE,0.008126584867438582,16.253169734877165,82.94000244140625,82.94000244140625,0,0.0,0.0
ESS,0.00048600061508711345,0.9720012301742269,292.5799865722656,292.5799865722656,0,0.0,0.0
NEM,0.08093470888525314,161.8694177705063,61.41999816894531,61.41999816894531,2,122.83999633789062,0.06141999816894531
CF,0.04408870593481292,88.17741186962584,93.70999908447266,93.70999908447266,0,0.0,0.0
CME,0.17371232632797112,347.4246526559422,276.4800109863281,276.4800109863281,1,276.4800109863281,0.13824000549316406
