Stock,Weight,Target_Value,Price_Per_Share,Price_Per_Lot,Lots,Actual_Value,Actual_Weight
BBCA.JK,0.21636889723350208,6491066.917005062,8425.0,842500.0,7,5897500.0,0.19658333333333333
UNVR.JK,0.14810719440010994,4443215.832003298,1570.0,157000.0,28,4396000.0,0.14653333333333332
KLBF.JK,0.07878278622438632,2363483.58673159,1495.0,149500.0,15,2242500.0,0.07475
EXCL.JK,0.1347234615550283,4041703.8466508486,2580.0,258000.0,15,3870000.0,0.129
PGAS.JK,0.15319018590134817,4595705.577040445,1610.0,161000.0,28,4508000.0,0.15026666666666666
JSMR.JK,0.14296113034989066,4288833.91049672,3600.0,360000.0,11,3960000.0,0.132
TOWR.JK,0.1258663443357346,3775990.330072038,675.0,67500.0,55,3712500.0,0.12375
