Stock,Weight,Target_Value,Price_Per_Share,Price_Per_Lot,Lots,Actual_Value,Actual_Weight
BBCA.JK,0.18194427017811887,5458328.105343566,8425.0,842500.0,6,5055000.0,0.1685
UNVR.JK,0.21485336925823134,6445601.07774694,1570.0,157000.0,41,6437000.0,0.21456666666666666
TLKM.JK,0.18402800291833904,5520840.087550172,2850.0,285000.0,19,5415000.0,0.1805
GGRM.JK,0.1800787115087399,5402361.345262198,9350.0,935000.0,5,4675000.0,0.15583333333333332
ANTM.JK,0.05410062818356853,1623018.845507056,3040.0,304000.0,5,1520000.0,0.050666666666666665
PTPP.JK,0.18499501795300233,5549850.53859007,418.0,41800.0,132,5517600.0,0.18392
