Stock,Weight,Target_Value,Price_Per_Share,Price_Per_Lot,Lots,Actual_Value,Actual_Weight
BBCA.JK,0.2811134461517508,8433403.384552525,8425.0,842500.0,10,8425000.0,0.2808333333333333
BBRI.JK,0.12037459563619217,3611237.869085765,3800.0,380000.0,9,3420000.0,0.114
ICBP.JK,0.3265421864696087,9796265.59408826,10450.0,1045000.0,9,9405000.0,0.3135
CPIN.JK,0.038099321775085876,1142979.6532525762,5025.0,502500.0,2,1005000.0,0.0335
EXCL.JK,0.08080327191709637,2424098.157512891,2580.0,258000.0,9,2322000.0,0.0774
PTBA.JK,0.0627277493034463,1881832.479103389,2440.0,244000.0,7,1708000.0,0.056933333333333336
SIDO.JK,0.09033942874681984,2710182.862404595,520.0,52000.0,52,2704000.0,0.09013333333333333
