Stock,Weight,Target_Value,Price_Per_Share,Price_Per_Lot,Lots,Actual_Value,Actual_Weight
UNVR.JK,0.12754358388714818,3826307.5166144455,1570.0,157000.0,24,3768000.0,0.1256
ANTM.JK,0.35969910095297736,10790973.028589321,3040.0,304000.0,35,10640000.0,0.3546666666666667
ADRO.JK,0.0570594735745399,1711784.207236197,2020.0,202000.0,8,1616000.0,0.05386666666666667
ICBP.JK,0.09375527103669555,2812658.1311008665,10450.0,1045000.0,2,2090000.0,0.06966666666666667
KLBF.JK,0.08622663443054718,2586799.0329164155,1495.0,149500.0,17,2541500.0,0.08471666666666666
INTP.JK,0.01659906118233971,497971.8354701913,5225.0,522500.0,0,0.0,0.0
EXCL.JK,0.047286670382126354,1418600.1114637905,2580.0,258000.0,5,1290000.0,0.043
PTBA.JK,0.0011780805809515308,35342.41742854592,2440.0,244000.0,0,0.0,0.0
JSMR.JK,0.10848240256877933,3254472.0770633803,3600.0,360000.0,9,3240000.0,0.108
PWON.JK,0.10068152887491157,3020445.866247347,360.0,36000.0,83,2988000.0,0.0996
CTRA.JK,8.911777685539855e-05,2673.5333056619565,945.0,94500.0,0,0.0,0.0
MNCN.JK,0.0013990747521280197,41972.24256384059,266.0,26600.0,1,26600.0,0.0008866666666666667
