Stock,Weight,Target_Value,Price_Per_Share,Price_Per_Lot,Lots,Actual_Value,Actual_Weight
UNVR.JK,0.24348319987950506,7304495.9963851515,1570.0,157000.0,46,7222000.0,0.24073333333333333
TLKM.JK,0.08436766498357566,2531029.94950727,2850.0,285000.0,8,2280000.0,0.076
GGRM.JK,0.20091168953117894,6027350.685935368,9350.0,935000.0,6,5610000.0,0.187
ICBP.JK,0.00784112751184721,235233.8253554163,10450.0,1045000.0,0,0.0,0.0
KLBF.JK,0.03513811618493678,1054143.4855481035,1495.0,149500.0,7,1046500.0,0.034883333333333336
INTP.JK,0.011951216458146438,358536.49374439317,5225.0,522500.0,0,0.0,0.0
EXCL.JK,0.11319213099425682,3395763.9298277046,2580.0,258000.0,13,3354000.0,0.1118
PGAS.JK,0.10354402107441188,3106320.6322323564,1610.0,161000.0,19,3059000.0,0.10196666666666666
JSMR.JK,0.07282895385393183,2184868.615617955,3600.0,360000.0,6,2160000.0,0.072
WIKA.JK,0.008129476176416699,243884.28529250098,1000.0,100000.0,2,200000.0,0.006666666666666667
PWON.JK,0.05457799140832412,1637339.7422497235,360.0,36000.0,45,1620000.0,0.054
CTRA.JK,0.0640344119434686,1921032.3583040577,945.0,94500.0,20,1890000.0,0.063
