Stock,Weight,Target_Value,Price_Per_Share,Price_Per_Lot,Lots,Actual_Value,Actual_Weight
BBCA.JK,0.15088725270157693,4526617.581047308,8425.0,842500.0,5,4212500.0,0.14041666666666666
BBRI.JK,0.08956061742948723,2686818.522884617,3800.0,380000.0,7,2660000.0,0.08866666666666667
BMRI.JK,0.016104673902662778,483140.2170798833,4680.0,468000.0,1,468000.0,0.0156
BBNI.JK,0.08839839937192416,2651951.9811577247,4100.0,410000.0,6,2460000.0,0.082
ASII.JK,0.014386958861091493,431608.7658327448,4950.0,495000.0,0,0.0,0.0
UNVR.JK,0.0671205689388427,2013617.068165281,1570.0,157000.0,12,1884000.0,0.0628
TLKM.JK,0.07211847580459846,2163554.2741379538,2850.0,285000.0,7,1995000.0,0.0665
GGRM.JK,0.09843620968056245,2953086.2904168735,9350.0,935000.0,3,2805000.0,0.0935
INCO.JK,0.019551860216128116,586555.8064838435,3690.0,369000.0,1,369000.0,0.0123
ANTM.JK,0.06863011626858036,2058903.4880574108,3040.0,304000.0,6,1824000.0,0.0608
ICBP.JK,0.11782504297817793,3534751.289345338,10450.0,1045000.0,3,3135000.0,0.1045
JSMR.JK,0.08486268756147401,2545880.6268442203,3600.0,360000.0,7,2520000.0,0.084
SIDO.JK,0.1121171362848933,3363514.088546799,520.0,52000.0,64,3328000.0,0.11093333333333333
