Stock,Weight,Target_Value,Price_Per_Share,Price_Per_Lot,Lots,Actual_Value,Actual_Weight
BBCA.JK,0.13616165208807482,4084849.5626422446,8425.0,842500.0,4,3370000.0,0.11233333333333333
UNVR.JK,0.1896458971676083,5689376.915028249,1570.0,157000.0,36,5652000.0,0.1884
TLKM.JK,0.13549961555953355,4064988.4667860065,2850.0,285000.0,14,3990000.0,0.133
GGRM.JK,0.1698098458963014,5094295.376889043,9350.0,935000.0,5,4675000.0,0.15583333333333332
ICBP.JK,0.10808491874722123,3242547.562416637,10450.0,1045000.0,3,3135000.0,0.1045
INTP.JK,0.04603462958163198,1381038.8874489593,5225.0,522500.0,2,1045000.0,0.034833333333333334
PTPP.JK,0.004765409889993092,142962.29669979276,418.0,41800.0,3,125400.0,0.00418
TOWR.JK,0.20999803106963555,6299940.932089066,675.0,67500.0,93,6277500.0,0.20925
