Stock,Weight,Target_Value,Price_Per_Share,Price_Per_Lot,Lots,Actual_Value,Actual_Weight
BBCA.JK,0.04990059572435077,1497017.8717305232,8425.0,842500.0,1,842500.0,0.02808333333333333
ASII.JK,0.19253761090124483,5776128.327037345,4950.0,495000.0,11,5445000.0,0.1815
UNVR.JK,0.133476971860589,4004309.15581767,1570.0,157000.0,25,3925000.0,0.13083333333333333
TLKM.JK,0.05186682682764256,1556004.8048292769,2850.0,285000.0,5,1425000.0,0.0475
GGRM.JK,0.10543095620285976,3162928.6860857927,9350.0,935000.0,3,2805000.0,0.0935
INCO.JK,0.05400644843993685,1620193.4531981056,3690.0,369000.0,4,1476000.0,0.0492
ICBP.JK,0.01397452776507854,419235.8329523562,10450.0,1045000.0,0,0.0,0.0
INTP.JK,0.004004893867794367,120146.816033831,5225.0,522500.0,0,0.0,0.0
PGAS.JK,0.13036303066090643,3910890.919827193,1610.0,161000.0,24,3864000.0,0.1288
JSMR.JK,0.00583990313735395,175197.0941206185,3600.0,360000.0,0,0.0,0.0
TOWR.JK,0.22769901264351033,6830970.37930531,675.0,67500.0,101,6817500.0,0.22725
MNCN.JK,0.030899221968732772,926976.6590619831,266.0,26600.0,34,904400.0,0.030146666666666665
